account_id,district_id,frequency,date,Account_type
3106,12,weekly,2021-09-26,Salary account
2312,65,Monthly,2021-09-26,NRI account
177,1,Monthly,2021-09-26,NRI account
4128,64,Monthly,2021-09-26,Savings account
89,68,Monthly,2021-09-25,NRI account
4616,1,Monthly,2021-09-24,Salary account
3757,64,Monthly,2021-09-24,Savings account
2942,44,Monthly,2021-09-24,NRI account
1814,17,Monthly,2021-09-23,NRI account
1718,71,Monthly,2021-09-23,Salary account
16,12,Monthly,2021-09-23,Savings account
1101,4,Monthly,2021-09-22,Salary account
179,1,weekly,2021-09-22,Savings account
3610,1,Monthly,2021-09-22,NRI account
3463,38,Monthly,2021-09-21,Salary account
3103,1,suance after a transaction,2021-09-21,NRI account
1876,1,Monthly,2021-09-20,Savings account
2765,69,Monthly,2021-09-20,NRI account
387,72,Monthly,2021-09-19,Salary account
3300,71,Monthly,2021-09-19,NRI account
3657,62,Monthly,2021-09-19,NRI account
823,71,Monthly,2021-09-19,Savings account
5283,15,Monthly,2021-09-18,Savings account
1438,23,weekly,2021-09-18,Salary account
328,1,Monthly,2021-09-18,NRI account
118,68,Monthly,2021-09-18,NRI account
3603,3,Monthly,2021-09-17,Savings account
1872,61,Monthly,2021-09-17,NRI account
3671,21,Monthly,2021-09-17,NRI account
735,70,Monthly,2021-09-17,NRI account
3274,76,Monthly,2021-09-17,NRI account
5870,75,Monthly,2021-09-17,Salary account
1946,46,Monthly,2021-09-16,Savings account
402,68,Monthly,2021-09-14,Salary account
9156,18,Monthly,2021-09-14,Savings account
3987,25,Monthly,2021-09-14,Salary account
3852,20,Monthly,2021-09-14,NRI account
384,24,weekly,2021-09-14,NRI account
677,70,Monthly,2021-09-13,NRI account
6505,7,Monthly,2021-09-13,Savings account
1240,1,Monthly,2021-09-11,NRI account
1783,70,Monthly,2021-09-11,Salary account
7156,71,Monthly,2021-09-11,NRI account
1085,42,Monthly,2021-09-11,NRI account
2684,7,Monthly,2021-09-10,Salary account
2459,55,Monthly,2021-09-10,Savings account
2997,40,Monthly,2021-09-09,Salary account
10650,76,Monthly,2021-09-09,NRI account
1303,23,Monthly,2021-09-08,Salary account
783,1,Monthly,2021-09-08,NRI account
1729,53,Monthly,2021-09-08,NRI account
1790,70,Monthly,2021-09-08,NRI account
2351,74,Monthly,2021-09-08,Savings account
2480,35,Monthly,2021-09-07,NRI account
2444,76,Monthly,2021-09-07,Savings account
3516,36,weekly,2021-09-07,Savings account
178,59,Monthly,2021-09-06,Salary account
2079,55,Monthly,2021-09-06,NRI account
3444,53,weekly,2021-09-04,Salary account
1764,68,Monthly,2021-09-04,Savings account
4158,27,Monthly,2021-09-04,Salary account
585,4,Monthly,2021-09-04,NRI account
5698,1,Monthly,2021-09-04,NRI account
10243,44,Monthly,2021-09-03,NRI account
1026,20,Monthly,2021-09-03,Salary account
45,64,Monthly,2021-09-02,Salary account
2172,1,Monthly,2021-09-02,Salary account
909,30,Monthly,2021-09-02,NRI account
3950,48,Monthly,2021-09-01,Salary account
2142,42,Monthly,2021-09-01,Salary account
2492,73,Monthly,2021-09-01,Savings account
3901,12,Monthly,2021-08-30,NRI account
2422,27,Monthly,2021-08-29,Savings account
3556,58,Monthly,2021-08-29,Salary account
1154,5,weekly,2021-08-29,Savings account
2317,68,Monthly,2021-08-28,Savings account
3828,44,Monthly,2021-08-28,Salary account
3798,15,Monthly,2021-08-27,Salary account
859,13,Monthly,2021-08-26,NRI account
2394,62,Monthly,2021-08-23,Savings account
8639,46,Monthly,2021-08-22,Salary account
4003,25,Monthly,2021-08-22,Salary account
3537,45,Monthly,2021-08-22,Salary account
3070,56,Monthly,2021-08-21,Salary account
645,70,Monthly,2021-08-21,Savings account
1795,53,Monthly,2021-08-21,Savings account
2442,14,Monthly,2021-08-21,NRI account
2845,62,Monthly,2021-08-21,Salary account
1845,47,Monthly,2021-08-20,NRI account
1181,69,Monthly,2021-08-20,NRI account
2607,1,Monthly,2021-08-19,NRI account
653,27,Monthly,2021-08-19,NRI account
10799,76,Monthly,2021-08-19,Salary account
1567,10,Monthly,2021-08-19,NRI account
996,47,Monthly,2021-08-18,NRI account
37,20,Monthly,2021-08-18,Salary account
2829,66,Monthly,2021-08-18,Salary account
529,39,Monthly,2021-08-18,Savings account
1857,37,Monthly,2021-08-18,Savings account
9140,32,Monthly,2021-08-18,Salary account
2485,41,Monthly,2021-08-18,Salary account
1881,60,Monthly,2021-08-17,Savings account
2595,1,Monthly,2021-08-17,NRI account
13,76,Monthly,2021-08-17,Salary account
1355,1,Monthly,2021-08-16,Savings account
3062,17,Monthly,2021-08-15,Savings account
9433,59,Monthly,2021-08-14,Salary account
509,36,Monthly,2021-08-14,NRI account
1747,30,Monthly,2021-08-14,Salary account
2073,59,Monthly,2021-08-14,Savings account
3097,66,Monthly,2021-08-14,Savings account
792,3,Monthly,2021-08-13,Savings account
1043,1,Monthly,2021-08-13,NRI account
591,1,Monthly,2021-08-12,Savings account
5572,15,Monthly,2021-08-11,Salary account
3046,74,Monthly,2021-08-11,Savings account
2138,75,Monthly,2021-08-11,Salary account
1662,1,Monthly,2021-08-11,Salary account
386,1,Monthly,2021-08-11,Savings account
2776,23,Monthly,2021-08-10,Savings account
785,21,weekly,2021-08-09,Savings account
2338,59,Monthly,2021-08-08,Savings account
1319,56,suance after a transaction,2021-08-08,Salary account
311,50,Monthly,2021-08-08,NRI account
3293,1,Monthly,2021-08-08,Salary account
1648,40,Monthly,2021-08-08,Salary account
38,19,weekly,2021-08-08,Salary account
1434,70,Monthly,2021-08-08,Savings account
7437,19,weekly,2021-08-08,Salary account
4784,46,Monthly,2021-08-08,NRI account
2644,1,Monthly,2021-08-08,NRI account
307,26,Monthly,2021-08-07,Savings account
1951,23,Monthly,2021-08-07,NRI account
4445,47,Monthly,2021-08-07,Savings account
2000,5,Monthly,2021-08-06,Salary account
3724,16,Monthly,2021-08-06,Savings account
3281,1,Monthly,2021-08-06,Savings account
326,61,Monthly,2021-08-06,NRI account
1389,34,Monthly,2021-08-05,Salary account
1033,32,Monthly,2021-08-05,Savings account
2449,23,Monthly,2021-08-05,Salary account
2927,37,Monthly,2021-08-04,NRI account
4091,9,Monthly,2021-08-04,NRI account
6602,74,Monthly,2021-08-04,Salary account
2558,46,Monthly,2021-08-04,Savings account
3208,29,Monthly,2021-08-04,NRI account
4533,68,Monthly,2021-08-03,NRI account
3343,1,Monthly,2021-08-03,NRI account
3686,77,Monthly,2021-08-03,Salary account
3381,68,Monthly,2021-08-02,NRI account
1522,48,Monthly,2021-08-02,Salary account
41,72,Monthly,2021-08-02,Salary account
1950,70,Monthly,2021-08-01,Salary account
811,14,weekly,2021-08-01,NRI account
3185,45,Monthly,2021-07-29,NRI account
5758,44,Monthly,2021-07-28,NRI account
1776,36,Monthly,2021-07-27,Savings account
547,24,Monthly,2021-07-27,Savings account
2197,46,Monthly,2021-07-26,Salary account
2587,1,Monthly,2021-07-25,Salary account
3346,1,Monthly,2021-07-25,Salary account
1454,46,Monthly,2021-07-25,NRI account
2196,11,Monthly,2021-07-24,Savings account
2646,6,Monthly,2021-07-24,Salary account
2722,69,Monthly,2021-07-24,Salary account
2679,67,Monthly,2021-07-24,Salary account
1794,74,Monthly,2021-07-23,Salary account
801,16,Monthly,2021-07-23,NRI account
3057,9,Monthly,2021-07-23,Salary account
5290,34,Monthly,2021-07-21,Salary account
2316,1,Monthly,2021-07-21,Savings account
611,46,Monthly,2021-07-21,Salary account
1890,1,weekly,2021-07-20,NRI account
2204,9,Monthly,2021-07-20,NRI account
970,18,Monthly,2021-07-20,Savings account
211,28,Monthly,2021-07-19,Savings account
1432,27,Monthly,2021-07-19,NRI account
2369,49,Monthly,2021-07-19,Salary account
3867,1,Monthly,2021-07-19,Savings account
680,17,Monthly,2021-07-18,Savings account
284,54,Monthly,2021-07-18,Savings account
1027,68,Monthly,2021-07-18,Salary account
1995,54,Monthly,2021-07-18,Savings account
2183,54,Monthly,2021-07-17,Salary account
7052,55,suance after a transaction,2021-07-17,Salary account
483,70,Monthly,2021-07-15,Salary account
2678,1,Monthly,2021-07-15,Salary account
705,35,Monthly,2021-07-14,Salary account
2447,38,Monthly,2021-07-14,Salary account
2452,1,Monthly,2021-07-14,Savings account
469,72,Monthly,2021-07-14,Salary account
9560,1,Monthly,2021-07-13,NRI account
3985,1,Monthly,2021-07-13,Salary account
3833,77,Monthly,2021-07-13,NRI account
3428,27,Monthly,2021-07-12,Savings account
679,22,Monthly,2021-07-12,Savings account
10644,16,Monthly,2021-07-12,NRI account
2182,22,Monthly,2021-07-12,Salary account
2992,43,Monthly,2021-07-11,NRI account
11317,50,Monthly,2021-07-11,Savings account
1681,68,Monthly,2021-07-11,NRI account
1110,54,Monthly,2021-07-10,Salary account
105,21,Monthly,2021-07-10,Savings account
1647,1,Monthly,2021-07-09,Savings account
2169,57,Monthly,2021-07-09,Salary account
258,64,Monthly,2021-07-09,Savings account
3906,52,Monthly,2021-07-08,NRI account
3529,12,Monthly,2021-07-08,Salary account
864,72,Monthly,2021-07-08,NRI account
4336,2,Monthly,2021-07-08,Salary account
3433,73,Monthly,2021-07-07,NRI account
2337,65,Monthly,2021-07-07,NRI account
3,5,Monthly,2021-07-07,NRI account
2093,64,Monthly,2021-07-07,Savings account
2728,52,weekly,2021-07-06,Salary account
1339,76,Monthly,2021-07-06,Salary account
1929,1,Monthly,2021-07-06,NRI account
4150,65,Monthly,2021-07-05,Salary account
10774,46,Monthly,2021-07-05,Savings account
185,32,Monthly,2021-07-04,Savings account
7721,13,Monthly,2021-07-03,Salary account
3889,16,Monthly,2021-07-03,Savings account
3085,66,Monthly,2021-07-03,Savings account
768,26,Monthly,2021-07-03,NRI account
8919,62,Monthly,2021-07-03,NRI account
3154,1,Monthly,2021-07-02,NRI account
2081,36,Monthly,2021-07-02,NRI account
1255,68,Monthly,2021-07-02,Salary account
2208,7,Monthly,2021-07-02,Savings account
1284,55,Monthly,2021-07-02,NRI account
8153,9,Monthly,2021-07-02,Salary account
1346,74,Monthly,2021-07-01,Salary account
1514,7,Monthly,2021-07-01,Salary account
5196,13,weekly,2021-06-29,Salary account
2883,77,Monthly,2021-06-29,Salary account
2939,5,Monthly,2021-06-28,NRI account
3665,28,Monthly,2021-06-28,Savings account
3524,66,Monthly,2021-06-28,NRI account
4156,42,Monthly,2021-06-27,Savings account
1921,42,Monthly,2021-06-27,NRI account
2200,1,Monthly,2021-06-26,Salary account
3245,45,Monthly,2021-06-26,Salary account
2806,53,Monthly,2021-06-26,Salary account
556,12,Monthly,2021-06-26,NRI account
4301,1,Monthly,2021-06-26,Savings account
2443,46,Monthly,2021-06-25,Salary account
4309,74,weekly,2021-06-25,NRI account
3075,71,Monthly,2021-06-25,Salary account
3461,8,Monthly,2021-06-23,Salary account
672,53,Monthly,2021-06-23,Salary account
8645,60,Monthly,2021-06-23,Savings account
438,37,Monthly,2021-06-23,Salary account
3262,23,Monthly,2021-06-22,Savings account
3100,65,Monthly,2021-06-22,Salary account
1839,5,Monthly,2021-06-22,Salary account
3996,1,Monthly,2021-06-22,Savings account
622,24,Monthly,2021-06-22,Savings account
2340,14,Monthly,2021-06-22,NRI account
641,40,Monthly,2021-06-22,NRI account
4858,67,Monthly,2021-06-21,NRI account
1354,31,Monthly,2021-06-21,NRI account
2057,1,Monthly,2021-06-20,Savings account
2560,15,Monthly,2021-06-20,Savings account
3986,19,Monthly,2021-06-20,NRI account
3719,37,Monthly,2021-06-19,Savings account
1551,72,Monthly,2021-06-18,Savings account
1095,54,Monthly,2021-06-18,Savings account
3703,74,Monthly,2021-06-18,Salary account
2135,51,Monthly,2021-06-17,Savings account
2720,2,weekly,2021-06-16,NRI account
2006,25,Monthly,2021-06-16,Savings account
3953,1,Monthly,2021-06-16,Savings account
2372,1,Monthly,2021-06-15,Savings account
6097,29,Monthly,2021-06-15,Salary account
2878,1,Monthly,2021-06-14,NRI account
1015,1,Monthly,2021-06-14,Salary account
1753,71,Monthly,2021-06-14,NRI account
5648,59,Monthly,2021-06-13,Salary account
2509,43,Monthly,2021-06-13,Savings account
1841,36,Monthly,2021-06-12,NRI account
7180,7,weekly,2021-06-12,Salary account
2019,64,Monthly,2021-06-11,Savings account
1491,47,Monthly,2021-06-11,NRI account
3496,42,Monthly,2021-06-11,Savings account
2956,15,Monthly,2021-06-10,NRI account
3211,72,Monthly,2021-06-09,Savings account
3060,73,Monthly,2021-06-09,Salary account
4471,4,weekly,2021-06-09,NRI account
349,72,Monthly,2021-06-08,NRI account
682,54,Monthly,2021-06-08,Savings account
291,7,Monthly,2021-06-08,NRI account
9673,76,Monthly,2021-06-07,NRI account
229,1,Monthly,2021-06-07,Salary account
614,25,Monthly,2021-06-07,Salary account
1724,48,Monthly,2021-06-07,Savings account
1185,12,Monthly,2021-06-07,Salary account
1537,54,Monthly,2021-06-06,NRI account
3768,52,Monthly,2021-06-06,Savings account
5944,27,Monthly,2021-06-06,Savings account
2404,8,Monthly,2021-06-05,Savings account
3202,8,Monthly,2021-06-04,NRI account
879,9,Monthly,2021-06-04,NRI account
3700,1,Monthly,2021-06-03,Savings account
2564,36,Monthly,2021-06-03,Salary account
3951,22,Monthly,2021-06-02,Savings account
4130,70,Monthly,2021-06-01,NRI account
4527,9,Monthly,2021-06-01,NRI account
2860,54,weekly,2021-05-30,NRI account
10679,1,Monthly,2021-05-30,NRI account
5,15,Monthly,2021-05-30,Savings account
3905,54,suance after a transaction,2021-05-28,Salary account
464,43,Monthly,2021-05-28,Salary account
1574,75,Monthly,2021-05-28,NRI account
2891,42,Monthly,2021-05-28,Salary account
11053,46,Monthly,2021-05-27,NRI account
3172,77,Monthly,2021-05-27,NRI account
868,1,Monthly,2021-05-26,Salary account
534,1,Monthly,2021-05-26,NRI account
3662,4,Monthly,2021-05-26,Savings account
3732,21,Monthly,2021-05-25,Savings account
1710,74,Monthly,2021-05-25,Salary account
760,1,Monthly,2021-05-24,Savings account
2324,1,Monthly,2021-05-24,Salary account
7559,56,Monthly,2021-05-24,NRI account
9208,29,Monthly,2021-05-24,NRI account
3163,41,Monthly,2021-05-24,Savings account
834,3,Monthly,2021-05-23,Salary account
1956,63,Monthly,2021-05-23,NRI account
4729,66,Monthly,2021-05-23,Salary account
10343,8,Monthly,2021-05-22,Savings account
2743,51,Monthly,2021-05-22,Salary account
2698,49,Monthly,2021-05-21,NRI account
3872,25,Monthly,2021-05-21,NRI account
3403,63,Monthly,2021-05-20,NRI account
1424,32,Monthly,2021-05-20,NRI account
2366,68,Monthly,2021-05-20,Savings account
2668,21,Monthly,2021-05-20,NRI account
2392,1,Monthly,2021-05-18,Salary account
8713,53,Monthly,2021-05-18,Savings account
1697,63,Monthly,2021-05-17,Savings account
1808,28,Monthly,2021-05-16,Salary account
3299,11,weekly,2021-05-16,NRI account
383,38,Monthly,2021-05-15,Salary account
1953,9,weekly,2021-05-15,NRI account
3344,70,Monthly,2021-05-15,Salary account
139,38,weekly,2021-05-15,Salary account
8149,64,suance after a transaction,2021-05-14,NRI account
2900,20,Monthly,2021-05-14,NRI account
3140,3,Monthly,2021-05-13,Savings account
3790,1,weekly,2021-05-13,Salary account
5164,5,Monthly,2021-05-13,Savings account
6922,3,weekly,2021-05-12,Savings account
3122,74,Monthly,2021-05-12,Salary account
282,69,Monthly,2021-05-12,Savings account
3742,59,Monthly,2021-05-11,NRI account
3577,74,Monthly,2021-05-11,NRI account
2448,23,Monthly,2021-05-11,NRI account
1130,1,Monthly,2021-05-11,Savings account
2118,42,Monthly,2021-05-11,Savings account
2005,16,Monthly,2021-05-11,Salary account
475,3,Monthly,2021-05-11,Salary account
3214,67,Monthly,2021-05-10,Salary account
250,56,Monthly,2021-05-10,NRI account
367,23,Monthly,2021-05-09,NRI account
2141,21,Monthly,2021-05-09,NRI account
2127,1,Monthly,2021-05-09,Salary account
1385,53,Monthly,2021-05-08,Salary account
3506,70,Monthly,2021-05-08,NRI account
316,62,Monthly,2021-05-08,NRI account
3711,3,Monthly,2021-05-08,NRI account
1982,6,Monthly,2021-05-08,NRI account
2071,35,Monthly,2021-05-08,Savings account
2800,41,Monthly,2021-05-08,Savings account
997,54,Monthly,2021-05-08,Salary account
2184,6,Monthly,2021-05-07,Salary account
10022,1,Monthly,2021-05-07,Salary account
3773,10,Monthly,2021-05-04,Savings account
3635,10,Monthly,2021-05-04,Salary account
293,1,Monthly,2021-05-04,Salary account
1178,41,Monthly,2021-05-04,Salary account
3988,23,Monthly,2021-05-04,NRI account
2816,74,Monthly,2021-05-04,Savings account
722,38,suance after a transaction,2021-05-04,Savings account
1230,1,Monthly,2021-05-03,Savings account
2594,19,suance after a transaction,2021-05-03,NRI account
1024,19,Monthly,2021-05-02,Salary account
2173,64,Monthly,2021-05-02,Savings account
98,55,Monthly,2021-05-02,Salary account
3119,33,Monthly,2021-05-02,Salary account
10257,27,Monthly,2021-05-01,NRI account
1693,1,suance after a transaction,2021-04-29,Savings account
2612,1,Monthly,2021-04-29,NRI account
3104,1,Monthly,2021-04-29,NRI account
1488,25,Monthly,2021-04-29,Salary account
2451,54,Monthly,2021-04-29,NRI account
2857,19,Monthly,2021-04-28,Salary account
647,1,Monthly,2021-04-28,Savings account
2952,65,Monthly,2021-04-28,Savings account
240,72,Monthly,2021-04-28,NRI account
3846,61,Monthly,2021-04-27,Savings account
912,65,Monthly,2021-04-27,Salary account
2080,74,Monthly,2021-04-27,Savings account
873,73,Monthly,2021-04-26,Salary account
589,1,Monthly,2021-04-26,Salary account
9484,5,Monthly,2021-04-26,NRI account
3052,44,Monthly,2021-04-26,Savings account
10134,22,Monthly,2021-04-26,NRI account
309,14,Monthly,2021-04-25,NRI account
453,75,Monthly,2021-04-24,Salary account
2539,24,Monthly,2021-04-24,Salary account
794,63,Monthly,2021-04-24,Salary account
636,75,Monthly,2021-04-24,Salary account
3217,75,suance after a transaction,2021-04-23,NRI account
3692,70,Monthly,2021-04-21,Salary account
109,53,Monthly,2021-04-20,Savings account
1198,70,Monthly,2021-04-20,Savings account
3830,56,Monthly,2021-04-20,NRI account
2744,70,weekly,2021-04-19,Salary account
3194,11,Monthly,2021-04-19,Salary account
3012,49,Monthly,2021-04-18,NRI account
1035,73,Monthly,2021-04-18,NRI account
1687,23,Monthly,2021-04-18,NRI account
407,72,weekly,2021-04-18,Salary account
2055,37,Monthly,2021-04-17,Savings account
4475,72,Monthly,2021-04-16,NRI account
