card_id,disp_id,type,issued
582,3733,Diamond,2021-01-22
729,4740,Sliver,2021-01-22
54,334,Diamond,2021-01-24
258,1607,Diamond,2021-01-26
534,3387,Diamond,2021-01-29
667,4333,Diamond,2021-01-31
195,1194,Diamond,2021-02-03
199,1213,Diamond,2021-02-07
490,3136,Diamond,2021-02-07
347,2184,Diamond,2021-02-11
210,1253,Diamond,2021-02-16
293,1850,Diamond,2021-02-17
189,1157,Diamond,2021-02-19
324,2074,Diamond,2021-02-19
578,3689,Sliver,2021-02-21
266,1690,Diamond,2021-03-04
568,3615,Diamond,2021-03-05
171,1027,Diamond,2021-03-05
679,4416,Diamond,2021-03-06
841,6468,Diamond,2021-03-06
513,3260,Diamond,2021-03-15
647,4171,Sliver,2021-03-21
665,4318,Diamond,2021-03-24
400,2529,Diamond,2021-04-06
617,3944,Diamond,2021-04-09
709,4587,Sliver,2021-04-11
387,2481,Diamond,2021-04-18
226,1378,Diamond,2021-04-18
350,2226,Diamond,2021-04-20
539,3415,Diamond,2021-04-23
583,3735,Diamond,2021-04-24
576,3671,Diamond,2021-04-30
232,1396,Diamond,2021-05-01
730,4749,Diamond,2021-05-02
616,3943,Diamond,2021-05-05
564,3590,Diamond,2021-05-06
82,474,Diamond,2021-05-07
1173,12442,Diamond,2021-05-08
426,2686,Diamond,2021-05-09
791,5521,Diamond,2021-05-12
572,3636,Sliver,2021-05-16
375,2425,Sliver,2021-05-17
69,438,Diamond,2021-05-17
607,3885,Diamond,2021-05-17
155,900,Sliver,2021-05-17
275,1762,Diamond,2021-05-20
847,6610,Diamond,2021-05-20
399,2527,Diamond,2021-05-22
305,1914,Diamond,2021-05-23
430,2713,Diamond,2021-05-26
349,2214,Diamond,2021-05-26
256,1583,Diamond,2021-05-26
50,309,Diamond,2021-05-28
939,8217,Sliver,2021-05-29
110,608,Diamond,2021-05-31
184,1089,Diamond,2021-06-03
90,503,Diamond,2021-06-04
597,3813,Sliver,2021-06-06
471,3037,Diamond,2021-06-09
494,3173,Diamond,2021-06-10
211,1271,Diamond,2021-06-10
353,2259,Diamond,2021-06-11
213,1289,Diamond,2021-06-11
1009,9409,Diamond,2021-06-14
297,1883,Diamond,2021-06-15
801,5684,Diamond,2021-06-15
748,4923,Diamond,2021-06-16
133,742,Diamond,2021-06-16
316,2013,Diamond,2021-06-17
145,819,Diamond,2021-06-17
270,1736,Sliver,2021-06-17
1178,12542,Diamond,2021-06-19
222,1345,Diamond,2021-06-19
241,1461,Diamond,2021-06-20
280,1793,Diamond,2021-06-22
675,4376,Diamond,2021-06-23
108,597,Diamond,2021-06-25
1196,12805,Diamond,2021-06-27
287,1819,Sliver,2021-06-28
443,2808,Diamond,2021-06-29
1138,11825,Diamond,2021-06-29
733,4764,Sliver,2021-06-30
311,1954,Diamond,2021-07-01
120,662,Diamond,2021-07-03
122,667,Sliver,2021-07-03
476,3079,Diamond,2021-07-06
781,5366,Diamond,2021-07-07
588,3765,Diamond,2021-07-08
403,2538,Sliver,2021-07-12
139,797,Diamond,2021-07-14
553,3522,Diamond,2021-07-14
625,3987,Diamond,2021-07-17
413,2592,Sliver,2021-07-20
591,3779,Diamond,2021-07-23
694,4504,Diamond,2021-07-24
512,3259,Diamond,2021-07-24
1095,11023,Diamond,2021-07-28
1059,10235,Diamond,2021-07-29
75,457,Diamond,2021-07-29
383,2469,Diamond,2021-07-30
115,638,Diamond,2021-07-30
884,7286,Diamond,2021-07-31
454,2921,Diamond,2021-08-01
688,4472,Diamond,2021-08-01
936,8030,Diamond,2021-08-02
663,4295,Diamond,2021-08-06
637,4094,Sliver,2021-08-06
511,3257,Sliver,2021-08-06
1220,13160,Diamond,2021-08-08
628,4007,Diamond,2021-08-11
718,4660,Diamond,2021-08-12
238,1452,Diamond,2021-08-17
546,3465,Diamond,2021-08-19
660,4265,Sliver,2021-08-19
491,3151,Diamond,2021-08-21
140,798,Diamond,2021-08-22
502,3201,Diamond,2021-08-22
598,3821,Diamond,2021-08-23
355,2267,Diamond,2021-08-28
43,267,Diamond,2021-08-29
610,3894,Diamond,2021-08-29
182,1067,Diamond,2021-08-31
41,256,Diamond,2021-08-31
91,504,Sliver,2021-09-01
252,1529,Diamond,2021-09-02
495,3181,Diamond,2021-09-02
259,1610,Diamond,2021-09-05
187,1140,Diamond,2021-09-07
185,1098,Diamond,2021-09-07
1025,9625,Diamond,2021-09-08
19,130,Diamond,2021-09-09
431,2715,Diamond,2021-09-12
356,2268,Diamond,2021-09-13
767,5204,Diamond,2021-09-14
537,3405,Diamond,2021-09-15
703,4546,Diamond,2021-09-17
671,4345,Diamond,2021-09-17
896,7567,Diamond,2021-09-18
343,2164,Diamond,2021-09-21
279,1791,Diamond,2021-09-21
622,3981,Sliver,2021-09-22
612,3906,Diamond,2021-09-22
206,1243,Diamond,2021-09-22
190,1165,Diamond,2021-09-23
1203,12893,Diamond,2021-09-26
234,1424,Diamond,2021-09-29
30,202,Diamond,2021-10-01
327,2117,Diamond,2021-10-03
49,305,Diamond,2021-10-03
1115,11375,Sliver,2021-10-03
698,4522,Diamond,2021-10-07
874,7127,Diamond,2021-10-07
247,1500,Sliver,2021-10-08
656,4235,Diamond,2021-10-08
436,2759,Diamond,2021-10-09
124,688,Diamond,2021-10-10
633,4078,Diamond,2021-10-12
428,2698,Diamond,2021-10-13
638,4100,Diamond,2021-10-14
153,886,Diamond,2021-10-19
596,3811,Diamond,2021-10-19
664,4316,Diamond,2021-10-22
251,1525,Diamond,2021-10-23
552,3519,Diamond,2021-10-25
9,76,Diamond,2021-10-25
11,79,Diamond,2021-10-25
650,4194,Diamond,2021-10-26
59,365,Diamond,2021-10-27
1016,9525,Diamond,2021-10-28
359,2299,Diamond,2021-10-29
438,2768,Diamond,2021-10-30
94,513,Diamond,2021-11-06
1056,10220,Diamond,2021-11-06
273,1758,Diamond,2021-11-07
947,8366,Diamond,2021-11-08
93,510,Diamond,2021-11-09
762,5132,Diamond,2021-11-10
254,1578,Diamond,2021-11-11
611,3896,Diamond,2021-11-13
648,4188,Diamond,2021-11-18
373,2401,Diamond,2021-11-18
579,3699,Diamond,2021-11-18
555,3544,Diamond,2021-11-19
329,2122,Diamond,2021-11-19
707,4560,Diamond,2021-11-21
51,321,Diamond,2021-11-21
382,2445,Diamond,2021-11-22
472,3056,Diamond,2021-11-24
237,1445,Diamond,2021-11-25
1234,13386,Diamond,2021-11-28
86,490,Diamond,2021-11-28
540,3425,Diamond,2021-11-29
493,3167,Diamond,2021-11-30
532,3382,Diamond,2021-11-30
590,3769,Diamond,2021-12-02
942,8295,Diamond,2021-12-02
33,221,Sliver,2021-12-03
739,4821,Diamond,2021-12-03
45,272,Diamond,2021-12-05
25,158,Diamond,2021-12-06
200,1220,Diamond,2021-12-09
268,1707,Diamond,2021-12-11
507,3245,Diamond,2021-12-11
569,3616,Diamond,2021-12-12
282,1799,Diamond,2021-12-13
536,3404,Diamond,2021-12-13
1022,9606,Diamond,2021-12-13
1105,11237,Diamond,2021-12-13
326,2104,Diamond,2021-12-14
380,2434,Diamond,2021-12-15
723,4699,Diamond,2021-12-15
81,473,Diamond,2021-12-17
521,3310,Diamond,2021-12-17
608,3890,Diamond,2021-12-17
589,3766,Sliver,2021-12-20
281,1795,Diamond,2021-12-22
891,7434,Diamond,2021-12-23
774,5249,Diamond,2021-12-25
566,3606,Diamond,2021-12-25
575,3667,Diamond,2021-12-25
154,887,Diamond,2021-12-28
130,722,Diamond,2021-12-29
434,2739,Diamond,2021-12-30
83,483,Diamond,2022-01-05
593,3787,Sliver,2022-01-06
481,3102,Sliver,2022-01-06
304,1913,Diamond,2022-01-06
149,858,Diamond,2022-01-07
659,4258,Diamond,2022-01-08
517,3291,Diamond,2022-01-09
368,2361,Diamond,2022-01-10
482,3104,Sliver,2022-01-13
689,4473,Diamond,2022-01-15
557,3567,Diamond,2022-01-17
897,7576,Diamond,2022-01-18
803,5727,Diamond,2022-01-19
401,2532,Diamond,2022-01-19
760,5126,Diamond,2022-01-19
274,1759,Diamond,2022-01-21
28,174,Sliver,2022-01-22
904,7672,Diamond,2022-01-22
474,3066,Sliver,2022-01-24
214,1292,Diamond,2022-01-24
55,335,Diamond,2022-01-25
340,2155,Diamond,2022-01-25
724,4701,Diamond,2022-01-27
67,429,Sliver,2022-01-28
236,1440,Sliver,2022-01-29
68,434,Diamond,2022-01-31
348,2203,Diamond,2022-02-02
65,414,Diamond,2022-02-02
1239,13442,Sliver,2022-02-02
165,996,Sliver,2022-02-04
249,1517,Diamond,2022-02-06
246,1492,Diamond,2022-02-08
720,4674,Sliver,2022-02-09
518,3292,Diamond,2022-02-10
459,2958,Diamond,2022-02-11
655,4231,Diamond,2022-02-13
624,3985,Sliver,2022-02-13
398,2522,Diamond,2022-02-14
796,5579,Diamond,2022-02-20
100,562,Diamond,2022-02-21
574,3640,Sliver,2022-02-23
360,2308,Diamond,2022-02-24
391,2493,Diamond,2022-02-24
283,1800,Diamond,2022-02-25
726,4721,Diamond,2022-02-26
132,731,Sliver,2022-02-26
463,2982,Diamond,2022-02-26
21,132,Diamond,2022-02-26
529,3357,Diamond,2022-02-27
946,8359,Sliver,2022-02-28
419,2626,Diamond,2022-02-28
248,1512,Diamond,2022-03-01
215,1296,Diamond,2022-03-02
225,1359,Diamond,2022-03-03
643,4157,Diamond,2022-03-04
844,6567,Sliver,2022-03-04
672,4349,Diamond,2022-03-07
276,1765,Diamond,2022-03-07
1230,13312,Diamond,2022-03-08
599,3824,Diamond,2022-03-08
72,447,Diamond,2022-03-09
1199,12826,Diamond,2022-03-09
48,295,Diamond,2022-03-10
58,358,Diamond,2022-03-11
334,2133,Diamond,2022-03-13
2,19,Diamond,2022-03-13
228,1382,Sliver,2022-03-15
244,1480,Diamond,2022-03-16
1189,12683,Diamond,2022-03-17
198,1211,Sliver,2022-03-18
34,225,Diamond,2022-03-20
535,3395,Diamond,2022-03-22
269,1718,Diamond,2022-03-22
515,3268,Diamond,2022-03-23
290,1833,Diamond,2022-03-24
315,2005,Sliver,2022-03-24
784,5461,Diamond,2022-03-24
63,378,Sliver,2022-03-27
417,2619,Diamond,2022-03-30
619,3958,Diamond,2022-04-01
191,1168,Sliver,2022-04-02
965,8636,Diamond,2022-04-02
444,2815,Diamond,2022-04-03
370,2374,Diamond,2022-04-03
156,906,Sliver,2022-04-07
492,3166,Diamond,2022-04-09
52,326,Diamond,2022-04-10
71,441,Diamond,2022-04-11
775,5253,Diamond,2022-04-11
330,2124,Diamond,2022-04-11
510,3256,Diamond,2022-04-13
170,1020,Diamond,2022-04-16
338,2146,Diamond,2022-04-16
755,5002,Diamond,2022-04-16
451,2888,Sliver,2022-04-16
263,1668,Diamond,2022-04-17
602,3846,Sliver,2022-04-18
498,3186,Diamond,2022-04-18
933,7959,Sliver,2022-04-21
89,497,Diamond,2022-04-22
761,5128,Diamond,2022-04-23
176,1049,Diamond,2022-04-25
1102,11183,Diamond,2022-04-25
109,605,Diamond,2022-04-26
421,2644,Diamond,2022-04-27
918,7796,Diamond,2022-04-27
680,4417,Diamond,2022-04-29
824,6196,Diamond,2022-04-29
448,2864,Diamond,2022-04-29
1194,12781,Sliver,2022-04-30
331,2125,Diamond,2022-05-01
734,4765,Diamond,2022-05-01
235,1438,Diamond,2022-05-02
284,1807,Diamond,2022-05-07
412,2585,Diamond,2022-05-09
64,402,Diamond,2022-05-10
186,1133,Diamond,2022-05-12
458,2951,Diamond,2022-05-14
465,2995,Diamond,2022-05-15
457,2948,Sliver,2022-05-16
456,2929,Diamond,2022-05-16
645,4166,Diamond,2022-05-17
906,7683,Diamond,2022-05-18
756,5012,Diamond,2022-05-18
218,1322,Diamond,2022-05-18
717,4654,Diamond,2022-05-19
8,60,Sliver,2022-05-20
700,4533,Sliver,2022-05-22
757,5013,Sliver,2022-05-22
126,707,Diamond,2022-05-23
358,2287,Sliver,2022-05-23
639,4112,Diamond,2022-05-23
212,1280,Diamond,2022-05-24
415,2609,Diamond,2022-05-25
161,963,Diamond,2022-05-25
207,1244,Diamond,2022-05-25
1216,13097,Diamond,2022-05-26
649,4190,Diamond,2022-05-29
475,3075,Diamond,2022-05-31
586,3756,Diamond,2022-05-31
446,2841,Diamond,2022-06-04
823,6178,Diamond,2022-06-05
644,4165,Diamond,2022-06-05
111,615,Diamond,2022-06-05
469,3026,Diamond,2022-06-07
17,127,Diamond,2022-06-07
558,3568,Diamond,2022-06-07
192,1169,Diamond,2022-06-08
631,4061,Sliver,2022-06-09
317,2015,Diamond,2022-06-10
716,4651,Sliver,2022-06-11
7,56,Diamond,2022-06-11
863,6906,Diamond,2022-06-12
123,679,Diamond,2022-06-12
770,5232,Diamond,2022-06-15
143,816,Diamond,2022-06-15
785,5468,Diamond,2022-06-16
646,4167,Diamond,2022-06-17
160,954,Diamond,2022-06-17
669,4341,Diamond,2022-06-19
101,566,Diamond,2022-06-19
332,2126,Diamond,2022-06-19
362,2320,Diamond,2022-06-21
173,1031,Diamond,2022-06-21
16,116,Diamond,2022-06-23
365,2332,Diamond,2022-06-23
701,4534,Diamond,2022-06-24
80,471,Diamond,2022-06-25
831,6275,Diamond,2022-06-29
354,2265,Diamond,2022-06-30
250,1522,Diamond,2022-06-30
142,810,Diamond,2022-07-01
991,9149,Sliver,2022-07-01
1192,12736,Diamond,2022-07-02
738,4808,Sliver,2022-07-02
627,3994,Diamond,2022-07-05
696,4516,Diamond,2022-07-05
260,1616,Diamond,2022-07-05
768,5223,Diamond,2022-07-06
233,1418,Diamond,2022-07-07
450,2880,Diamond,2022-07-07
440,2782,Diamond,2022-07-07
301,1899,Diamond,2022-07-07
485,3124,Diamond,2022-07-08
567,3611,Diamond,2022-07-08
66,425,Diamond,2022-07-08
1002,9261,Diamond,2022-07-09
453,2911,Diamond,2022-07-12
277,1777,Diamond,2022-07-12
571,3627,Sliver,2022-07-13
687,4471,Diamond,2022-07-14
640,4115,Diamond,2022-07-14
39,254,Diamond,2022-07-14
435,2740,Diamond,2022-07-15
411,2572,Diamond,2022-07-15
548,3501,Diamond,2022-07-16
1167,12335,Diamond,2022-07-18
727,4723,Diamond,2022-07-19
603,3850,Diamond,2022-07-20
496,3183,Sliver,2022-07-21
73,451,Sliver,2022-07-21
146,822,Diamond,2022-07-23
439,2779,Diamond,2022-07-23
613,3913,Diamond,2022-07-23
323,2065,Sliver,2022-07-24
623,3984,Diamond,2022-07-25
530,3360,Diamond,2022-07-25
396,2508,Diamond,2022-07-26
1076,10604,Diamond,2022-07-27
344,2168,Diamond,2022-07-27
525,3337,Diamond,2022-07-27
42,264,Sliver,2022-07-28
740,4823,Sliver,2022-07-28
780,5333,Diamond,2022-07-29
509,3253,Diamond,2022-07-30
308,1938,Diamond,2022-07-30
618,3947,Diamond,2022-07-31
209,1251,Diamond,2022-07-31
1155,12088,Diamond,2022-08-01
95,519,Sliver,2022-08-01
833,6299,Diamond,2022-08-01
319,2038,Sliver,2022-08-02
795,5563,Diamond,2022-08-02
508,3249,Diamond,2022-08-03
78,468,Diamond,2022-08-04
683,4437,Diamond,2022-08-05
32,219,Diamond,2022-08-06
550,3515,Diamond,2022-08-08
1217,13098,Sliver,2022-08-09
1003,9274,Diamond,2022-08-09
179,1059,Diamond,2022-08-10
169,1019,Diamond,2022-08-10
221,1339,Diamond,2022-08-10
684,4457,Diamond,2022-08-11
77,466,Diamond,2022-08-13
581,3721,Diamond,2022-08-13
47,280,Diamond,2022-08-13
386,2478,Diamond,2022-08-14
346,2177,Diamond,2022-08-14
406,2548,Diamond,2022-08-16
951,8392,Diamond,2022-08-16
519,3297,Diamond,2022-08-16
321,2058,Diamond,2022-08-16
128,716,Diamond,2022-08-19
711,4592,Diamond,2022-08-19
538,3414,Diamond,2022-08-20
29,192,Diamond,2022-08-20
834,6301,Diamond,2022-08-21
461,2977,Diamond,2022-08-21
239,1453,Diamond,2022-08-24
395,2502,Diamond,2022-08-24
531,3378,Diamond,2022-08-24
1150,12020,Diamond,2022-08-25
96,528,Diamond,2022-08-26
367,2343,Diamond,2022-08-27
1023,9621,Diamond,2022-08-30
702,4543,Diamond,2022-08-30
405,2542,Diamond,2022-08-31
480,3092,Diamond,2022-09-01
1098,11063,Diamond,2022-09-01
79,469,Diamond,2022-09-02
402,2536,Diamond,2022-09-03
551,3517,Diamond,2022-09-03
425,2662,Sliver,2022-09-04
1195,12787,Diamond,2022-09-04
1154,12070,Diamond,2022-09-05
307,1930,Diamond,2022-09-05
752,4944,Sliver,2022-09-06
134,769,Diamond,2022-09-07
285,1811,Diamond,2022-09-10
544,3448,Diamond,2022-09-10
526,3339,Diamond,2022-09-10
352,2235,Diamond,2022-09-11
328,2121,Sliver,2022-09-12
26,161,Diamond,2022-09-14
141,808,Diamond,2022-09-15
151,861,Diamond,2022-09-16
203,1231,Diamond,2022-09-16
653,4212,Diamond,2022-09-16
880,7186,Diamond,2022-09-17
620,3959,Diamond,2022-09-17
630,4019,Diamond,2022-09-18
1188,12678,Diamond,2022-09-19
389,2489,Diamond,2022-09-19
1024,9622,Diamond,2022-09-20
193,1179,Diamond,2022-09-21
758,5016,Diamond,2022-09-21
634,4081,Sliver,2022-09-22
361,2312,Diamond,2022-09-23
242,1473,Diamond,2022-09-24
923,7855,Diamond,2022-09-24
1007,9333,Diamond,2022-09-25
520,3308,Diamond,2022-09-25
629,4018,Sliver,2022-09-25
335,2137,Diamond,2022-09-25
414,2606,Diamond,2022-09-26
36,236,Diamond,2022-09-28
561,3581,Diamond,2022-09-28
291,1836,Diamond,2022-09-29
231,1390,Sliver,2022-09-29
782,5376,Diamond,2022-09-29
180,1062,Diamond,2022-09-29
765,5175,Diamond,2022-09-29
357,2277,Sliver,2022-09-29
554,3535,Diamond,2022-09-29
956,8502,Diamond,2022-09-30
676,4380,Diamond,2022-09-30
255,1579,Diamond,2022-10-01
1193,12743,Diamond,2022-10-01
416,2616,Diamond,2022-10-01
585,3753,Diamond,2022-10-01
744,4863,Diamond,2022-10-02
23,146,Diamond,2022-10-03
394,2501,Diamond,2022-10-05
460,2971,Diamond,2022-10-05
35,231,Diamond,2022-10-07
447,2845,Diamond,2022-10-07
264,1669,Diamond,2022-10-07
245,1483,Diamond,2022-10-08
505,3233,Sliver,2022-10-09
336,2138,Sliver,2022-10-09
366,2335,Diamond,2022-10-09
533,3384,Diamond,2022-10-09
288,1826,Diamond,2022-10-10
754,4976,Sliver,2022-10-10
116,646,Diamond,2022-10-11
1035,9732,Diamond,2022-10-11
682,4429,Diamond,2022-10-11
792,5526,Diamond,2022-10-11
385,2476,Diamond,2022-10-12
53,333,Diamond,2022-10-13
751,4941,Sliver,2022-10-15
614,3938,Sliver,2022-10-16
957,8506,Sliver,2022-10-16
1,9,Diamond,2022-10-16
743,4862,Diamond,2022-10-18
61,374,Diamond,2022-10-18
60,370,Diamond,2022-10-18
74,453,Diamond,2022-10-18
749,4929,Diamond,2022-10-19
339,2154,Diamond,2022-10-19
769,5224,Diamond,2022-10-20
488,3134,Diamond,2022-10-20
31,208,Diamond,2022-10-21
542,3439,Diamond,2022-10-22
750,4937,Diamond,2022-10-24
855,6764,Diamond,2022-10-24
299,1886,Diamond,2022-10-25
158,928,Diamond,2022-10-25
857,6789,Sliver,2022-10-25
230,1388,Diamond,2022-10-25
295,1864,Diamond,2022-10-26
584,3751,Diamond,2022-10-28
449,2865,Diamond,2022-10-28
351,2232,Diamond,2022-11-01
138,791,Diamond,2022-11-02
524,3333,Diamond,2022-11-02
693,4495,Sliver,2022-11-03
604,3858,Diamond,2022-11-04
746,4901,Diamond,2022-11-04
333,2128,Diamond,2022-11-04
129,719,Diamond,2022-11-05
429,2709,Diamond,2022-11-05
424,2659,Diamond,2022-11-06
345,2175,Diamond,2022-11-07
1165,12291,Diamond,2022-11-08
1070,10490,Sliver,2022-11-08
217,1316,Diamond,2022-11-09
636,4091,Sliver,2022-11-09
820,6039,Diamond,2022-11-10
46,273,Diamond,2022-11-10
742,4833,Diamond,2022-11-10
404,2540,Sliver,2022-11-12
102,575,Diamond,2022-11-12
455,2924,Diamond,2022-11-13
253,1536,Diamond,2022-11-14
570,3620,Diamond,2022-11-14
27,167,Sliver,2022-11-15
580,3713,Diamond,2022-11-16
409,2562,Diamond,2022-11-16
205,1242,Diamond,2022-11-16
773,5245,Diamond,2022-11-18
487,3130,Diamond,2022-11-18
